country_code,country_name,year,variant,population,last_updated
304,Greenland,2024,Medium,42240.0,2025-07-02
304,Greenland,2024,Medium,41984.0,2025-07-02
304,Greenland,2024,Medium,41723.0,2025-07-02
304,Greenland,2024,Medium,41479.0,2025-07-02
304,Greenland,2024,Medium,41230.0,2025-07-02
304,Greenland,2024,Medium,40979.0,2025-07-02
304,Greenland,2024,Medium,40742.0,2025-07-02
304,Greenland,2024,Medium,40499.0,2025-07-02
304,Greenland,2024,Medium,40275.0,2025-07-02
304,Greenland,2024,Medium,40049.0,2025-07-02
304,Greenland,2024,Medium,39825.0,2025-07-02
304,Greenland,2024,Medium,39605.0,2025-07-02
304,Greenland,2024,Medium,39377.0,2025-07-02
304,Greenland,2024,Medium,39145.0,2025-07-02
304,Greenland,2024,Medium,38929.0,2025-07-02
304,Greenland,2024,Medium,38704.0,2025-07-02
304,Greenland,2024,Medium,38478.0,2025-07-02
304,Greenland,2024,Medium,38246.0,2025-07-02
304,Greenland,2024,Medium,38024.0,2025-07-02
304,Greenland,2024,Medium,37807.0,2025-07-02
304,Greenland,2024,Medium,37568.0,2025-07-02
304,Greenland,2024,Medium,37351.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5654.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5602.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5545.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5482.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5427.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5373.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5314.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5263.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5207.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5163.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5105.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5052.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,5001.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4960.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4914.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4871.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4819.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4778.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4723.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4676.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4633.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4583.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4523.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4467.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4410.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4354.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4288.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4229.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4168.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4100.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,4033.0000000000005,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3965.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3905.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3836.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3763.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3707.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3645.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3584.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3523.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3470.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3419.0,2025-07-02
666,Saint Pierre and Miquelon,2024,Medium,3364.0,2025-07-02
